Label,MBI,MNDWI,NDVI,SAVI
2,0.0413968,-0.284937,0.60878,0.964654
2,0.113254,-0.343082,0.583233,0.920666
2,0.0852254,-0.28878,0.616305,0.893142
2,0.0897595,-0.323256,0.612,0.928153
2,0.083091,-0.280814,0.573396,0.882656
2,0.0717526,-0.278469,0.597233,0.924433
2,0.0979592,-0.298056,0.560232,0.873712
2,0.0920055,-0.30448,0.52349,0.878884
2,-0.0223003,-0.181416,0.586952,0.922796
2,0.0884551,-0.342139,0.61698,0.972582
2,0.0772774,-0.30791,0.580698,0.903888
2,0.0521814,-0.319704,0.615575,0.970793
2,0.0283984,-0.197682,0.512371,0.852131
2,0.0550953,-0.324438,0.603177,0.977027
2,0.0280359,-0.294442,0.63917,0.981325
2,0.0350266,-0.248864,0.626036,0.957895
2,0.0376072,-0.290157,0.643921,1.00187
2,0.0403112,-0.316917,0.634613,0.970778
2,0.0347541,-0.314588,0.663378,1.01093
2,0.0751194,-0.311062,0.614538,0.938767
2,0.0663845,-0.325121,0.583348,0.9543
2,0.0629265,-0.316588,0.559764,0.939458
2,0.061958,-0.313514,0.629888,0.985394
2,0.0755689,-0.334163,0.619015,0.946979
3,0.189327,0.201031,-0.162671,-0.24737
3,0.201778,0.218528,-0.225469,-0.35012
3,0.208348,0.254789,-0.275105,-0.432133
3,0.114491,0.396992,-0.246656,-0.241452
3,0.0999594,0.451679,-0.197605,-0.293611
3,0.244186,0.179168,-0.211061,-0.301259
3,0.190944,0.222625,-0.181435,-0.288547
4,0.129883,0.189066,-0.0489154,-0.0558446
4,0.132618,0.156716,-0.0192229,-0.0254462
4,0.153557,0.0163934,0.0568314,0.101388
4,0.150815,0.0640084,0.0226222,0.0327697
4,0.133121,0.170692,-0.0515794,-0.0486011
4,0.132518,0.178051,-0.0289801,-0.0400767
4,0.125623,0.211109,0.0,-0.0288984
4,0.124271,0.15991,0.0185551,0.0251938
4,0.141557,0.172857,-0.00224517,-0.00353702
4,0.128758,0.175278,-0.0058997,-0.0230616
4,0.125186,0.157867,-0.0131527,-0.00450047
4,0.130096,0.129393,-0.014966,0.018971
4,0.119443,0.114739,-0.0241334,0.0474671
4,0.130246,0.129908,0.0163424,0.0423803
4,0.124303,0.0859178,0.0183529,0.0744815
4,0.143453,0.0175077,0.0665352,0.123959
4,0.149148,0.0565534,0.0315466,0.0516364
4,0.118083,0.146594,-0.0320166,0.0314338
4,0.128581,0.0605315,0.0442532,0.101755
4,0.118369,-0.0377374,0.099529,0.229325
4,0.130576,0.00509198,0.0730929,0.112049
4,0.139243,0.0775235,0.0176863,0.00376648
4,0.143326,0.0458009,0.0786936,0.0803098
4,0.133015,0.166313,-0.0223124,-0.0217878
1,0.286244,-0.359826,0.123113,0.237574
1,0.264407,-0.176042,0.132827,0.193927
1,0.168063,-0.0388643,0.147305,0.225274
1,0.127757,0.0,0.114807,0.231219
1,0.146442,-0.0787793,0.223697,0.325097
1,0.156194,-0.128647,0.150106,0.330148
1,0.212214,-0.227432,0.226591,0.412496
1,0.193036,-0.0664381,0.0973872,0.176988
1,0.227379,-0.385764,0.304294,0.564685
1,0.170314,-0.104888,0.139606,0.286451
1,0.0755604,0.120199,0.054576,0.0899174
1,0.0939751,0.0412262,0.0844664,0.190205
1,0.204413,-0.116259,0.0809183,0.151864
1,0.114982,0.100043,0.0181113,0.0366548
1,0.130459,0.0849123,0.0208783,0.0282566
1,0.0702703,-0.012719,0.195205,0.373967
1,0.10362,-0.00389307,0.118602,0.253026
1,0.0814886,-0.0262192,0.164662,0.32327
1,0.23742,-0.241509,0.180342,0.305051
1,0.108908,0.0532725,0.110395,0.174624
1,0.142918,-0.0442968,0.122774,0.202849
1,0.20199,-0.277117,0.256839,0.465345
1,0.224867,-0.287037,0.239034,0.425988
1,0.240011,-0.300452,0.168019,0.354354
1,0.211595,-0.201379,0.0149089,0.0811786
1,0.234811,-0.208031,-0.00557828,0.0388904
1,0.2279,-0.195411,0.0029932,0.0378899
1,0.223215,-0.206143,-0.0181618,0.0136742
1,0.26141,-0.333605,0.152836,0.266166
1,0.255343,-0.33405,0.209979,0.365378
1,0.263362,-0.33656,0.162562,0.3456
1,0.21306,-0.370877,0.289933,0.618743
1,0.248115,-0.323255,0.1958,0.379352
1,0.236824,-0.336644,0.304376,0.481848
1,0.26981,-0.315981,0.123994,0.220722
1,0.275067,-0.351005,0.180137,0.323355
1,0.250716,-0.323429,0.139057,0.303997
1,0.134843,-0.0892333,0.231077,0.355632
1,0.087834,0.000966184,0.0482815,0.311653
1,0.206871,-0.130774,0.11713,0.244544
1,0.13774,-0.0790244,0.143818,0.33379
1,0.116264,0.00866824,0.105622,0.213461
1,0.211277,-0.221911,0.195412,0.366417
1,0.183756,-0.143492,0.174853,0.313471
1,0.246745,-0.35312,0.229304,0.425494
1,0.215951,-0.350264,0.284662,0.592654
1,0.26309,-0.34294,0.174242,0.314966
